component,alarm_id,alarm_name,severity,alarm_type,raise_or_clear,mnemonic_code,trap_oid,match_trap_name,description,impact_on_system,possible_causes,procedure,parameters
dc,0x0801214C,hwRATEOFTRAFFICRising,Warning,equipmentAlarm,Clear,hwRATEOFTRAFFICRising,1.3.6.1.4.1.2011.5.25.219.2.21.2,hwRATEOFTRAFFICRising-138255,"Rate of traffic back to normal level. (EntityPhysicalIndex=[EntityPhysicalIndex],EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalName=[EntPhysicalName],EntityTrapFaultID=138255,Reason=Continuous packet loss no longer occurred in the value-added service.)",The system is not affected.,Continuous packet loss no longer occurred in the value-added service.,,EntityPhysicalIndex::Indicates the index of the physical entity. | EntPhysicalName::Indicates the name of the physical entity. | EntityTrapFaultID::Indicates the error code. | Reason::Reason.
dc,0x00F10467,hwMplsLdpPeerAddressCountExceedClear,Warning,communicationsAlarm,Clear,hwMplsLdpPeerAddressCountExceed,1.3.6.1.4.1.2011.5.25.143.2.8,hwMplsLdpPeerAddressCountExceed,"The peer address count falls from the upper limit. (PeerLsrId=[PeerLsrId], VrfName=[VrfName]) In VS mode, this trap is supported only by the admin VS.","The generated address threshold-crossing alarm is cleared, but services are not affected.","After the configuration is modified, the number of addresses is below the upper limit.",,PeerLsrId::LDP peer ID | VrfName::Index of the VRF to which the LDP peer belongs
dc,0x08130085,hwPtimAlarm,Minor,communicationsAlarm,Raise,hwPtimAlarm,1.3.6.1.4.1.2011.5.25.157.2.31,hwPtimAlarmResume,"The trace identifier mismatch in the higher order path alarm. (hwPhysicalPortIfIndex=[hwPhysicalPortIfIndex],SlotID=[hwPhysicalPortInSlot],CardID=[hwPhysicalPortInCard],PortID=[hwPhysicalPortInPort],HpID=[hwSDHHpPerfCurrentHpIndex],InterfaceName=[hwPhysicalPortName]) The trace identifier mismatch in the higher order path alarm.",A service switchover or interruption will occur.,"Cause 0: The configurations of flag j1 is incorrect. Cause 1: The optical fiber was broken. Cause 2: The optical loss was beyond the normal range. Cause 3: The remote device failed to send the optical signal. Cause 4: The cross-connect board of the remote device failed, was not installed, or was not installed properly. Cause 5: The clock board of the remote device failed.","1. Check whether any optical fiber is connected to the optical interface. If no optical fiber is used, shut down the laser of the optical interface and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 10. 2. Check whether the flag j1 configuration of the peer device is correct. If it is incorrect, change the configuration and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 10. 3. Check whether the optical fiber is broken. If the optical fiber is broken, replace the optical fiber and check whether the alarm is cleared.",hwPhysicalPortIfIndex::Index of physical port. | hwPhysicalPortInSlot::Slot ID. | hwPhysicalPortInCard::Card ID. | hwPhysicalPortInPort::Port ID. | hwSDHHpPerfCurrentHpIndex::High-order path ID. | hwPhysicalPortName::Name of physical port.
dc,0x0813001B,hwPowerInvalid,Critical,equipmentAlarm,Clear,hwPowerInvalid,1.3.6.1.4.1.2011.5.25.219.2.5.6,hwPowerInvalid-136979,"The power module recovered from total failure. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityTrapFaultID=136979,EntityOperStatus=[EntityOperStatus],EntityTrapReasonDescr=The input voltage of the power supply module is normal(2+2-).) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,The input voltage of the power supply module is normal(2+2-).,,EntityPhysicalIndex::The index for this entry. | EntPhysicalIndex::The index for this entry. | EntityPhysicalName::Indicates the name of the physical entity. | EntityTrapFaultID::To describe the fault id of trap. | EntityOperStatus::Indicates the status of the physical entity. | EntityTrapReasonDescr::Indicates the reason.
dc,0x08130055,hwEntityInvalid,Critical,equipmentAlarm,Clear,hwEntityInvalid,1.3.6.1.4.1.2011.5.25.129.2.1.10,hwEntityInvalid-67722,"A faulty physical entity recovered, and the fault caused by the faulty part was rectified. (BaseTrapSeverity=[BaseTrapSeverity], BaseTrapProbableCause=[ProbableCause], BaseTrapEventType=[BaseTrapEventType], EntityPhysicalIndex=[EntityPhysicalIndex], EntPhysicalContainedIn=[EntContainedIn], EntPhysicalName=[EntPhysicalName], RelativeResource=[RelativeResource], ReasonDescription=The mpu act signal of the Board is recovered.) In VS mode, this trap is supported only by the admin VS.",The system is not affected.,The mpu act signal of the Board is recovered.,,BaseTrapSeverity::To describe the level of trap. | ProbableCause::To describe the probable cause of trap. | BaseTrapEventType::To describe the type of trap. | EntityPhysicalIndex::The index of the physical entity. | EntContainedIn::The value of entPhysicalIndex for the physical entity. | EntPhysicalName::The textual name of the physical entity. | RelativeResource::This object may contain a key word to indicate the relative resource of an entity. | ReasonDescription::To describe the reason of trap in DisplayString style.
dc,0x00F1043B,hwGtlCloudNearDeadline,Critical,qualityOfServiceAlarm,Clear,hwGtlCloudNearDeadline,1.3.6.1.4.1.2011.5.25.142.2.50,hwGtlCloudNearDeadline,"The cloud license state is changed. In VS mode, this trap is supported only by the admin VS.",Services will not be affected.,The status of the license file was changed.,"This alarm is informational only, and no action is required.",
dc,0x00F1FFD1,hwRpkiSessionASPAExceedThresholdClear,Major,communicationsAlarm,Clear,hwRpkiSessionASPAExceedThreshold,1.3.6.1.4.1.2011.5.25.177.11.2.6,hwRpkiSessionASPAExceedThreshold,"The number of ASPA records received from the ASPA server decreased below the configured threshold. (InstanceId=[InstanceId],SessionRemoteAddrType=[SessionIPAddrType],SessionRemoteAddr=[SessionIPAddr],MaxASPANum=[AspaLimitNum],AlarmThreshold=[AspaLimitThreshold])",The alarm indicating that the number of ASPA entries received from a session exceeds the threshold is cleared.,The number of ASPA records received from the session for which the RPKI upper limit is configured fell below the upper alarm threshold.,,InstanceId::Instance ID. | SessionIPAddrType::Session address type. | SessionIPAddr::Session address. | AspaLimitNum::Maximum number of configured ASPA entries. | AspaLimitThreshold::Alarm threshold.
dc,0x08130011,hwCommunicateError,Major,communicationsAlarm,Raise,hwCommunicateError,1.3.6.1.4.1.2011.5.25.219.2.9.1,hwCommunicateResume-140318,"The communication channel failed. (EntityPhysicalIndex=[EntityPhysicalIndex],EntPhysicalIndex=[EntPhysicalIndex],EntPhysicalName=[EntityPhysicalName],EntityType=[EntType],EntityTrapFaultID=140318,EntityCommunicateType=[EntCommunicateType],EntityTrapReasonDescr=Service backup channel failed.) The physical entity channel is faulty. In VS mode, this trap is supported only by the admin VS.",The service restoration time is affected during the master/slave switchover.,Service backup channel failed.,"1. Reset the slave board,check whether the alarm is cleared. if so,go to step 5. if not,go to step 2. 2. Replace the slave board,check whether the alarm is cleared. if so,go to step 5. if not,go to step 3. 3. Replace the master board.check whether the alarm is cleared.",EntityPhysicalIndex::The index for this entry. | EntPhysicalIndex::The index for this entry. | EntityPhysicalName::The textual name of the physical entity. | EntType::The type of this entity. | EntityTrapFaultID::To describe the fault id of trap. | EntCommunicateType::Indicates the communicate Type. The following values: 1: controlChannel. 2: monitorChannel. 3: clockChannel. 4: dataChannel. | EntityTrapReasonDescr::Indicates the reason.
dc,0x00F10244,hwDamagedRunningPatchRecovered,Major,environmentalAlarm,Clear,hwPatchDamaged,1.3.6.1.4.1.2011.5.25.19.2.28,hwSysPatchDamagedNotification,"The damaged patch package running on a board recovered.(PhysicalName=[PhysicalName], PatchName=[PatchName]) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,A damaged patch package recovered.,,PhysicalName::Entity name. | PatchName::Patch package.
dc,0x00F10232,hwFlexESubTimeSlotMismatch,Minor,equipmentAlarm,Clear,hwFlexESubTimeSlotMismatch,1.3.6.1.4.1.2011.5.25.157.2.279,hwFlexESubTimeSlotMismatch,"The sub-timeslot granula of the butted FlexE interfaces mismatch alarm resume. (hwPortIfIndex=[hwPortIfIndex],hwPortName=[hwPortName])",Services are not affected.,The fault triggering the alarm was rectified.,,hwPortIfIndex::Index of port. | hwPortName::Name of port.
dc,0x00003326,hwL2vpnOamMismerge,Minor,communicationsAlarm,Clear,hwL2vpnOamMismerge,1.3.6.1.4.1.2011.5.25.119.9.2.26,hwL2vpnOamMismerge,"OAM reported the clearing of the Mismerge alarm. (ServiceType=[ServiceType], ProtocolType=[ProtocolType], VcID=[VcID], VcType=[VcType], PeerAddr=[PeerAddr], IfIndex=[IfIndex], PwMaster=[PwMaster], RmtSiteID=[RmtSiteID], InLabel=[InLabel], OutLabel=[OutLabel], IfName=[IfName], VsiName=[VsiName])",After OAM is deployed and an APS instance is bound to the PW protection group: The service traffic will be switched from the primary PW to the secondary PW if OAM reports an alarm about the primary PW. The service traffic will not be switched or affected if OAM reports an alarm about the secondary PW.,OAM received only correct packets for three consecutive periods.,"This trap message is informational only, and no action is required.",ServiceType::Type of the service: 0: VLL. 1: VPLS. | ProtocolType::Type of the protocol: 0: SVC. 1: LDP. 2: BGP (not supported for the time being). | VcID::VC ID. | VcType::VC type. | PeerAddr::IP address of the peer. | IfIndex::Interface index. | PwMaster::PW identifier: 1: primary PW. 2: secondary PW. | RmtSiteID::Remote site ID. | InLabel::VC in-label. | OutLabel::VC out-label. | IfName::Interface name. | VsiName::VSI name.
dc,0x08130055,hwEntityInvalid,Critical,equipmentAlarm,Raise,hwEntityInvalid,1.3.6.1.4.1.2011.5.25.129.2.1.9,hwEntityResume-67692,"Physical entity failed. (BaseTrapSeverity=[BaseTrapSeverity], BaseTrapProbableCause=[ProbableCause], BaseTrapEventType=[BaseTrapEventType], EntityPhysicalIndex=[EntityPhysicalIndex], EntPhysicalContainedIn=[EntContainedIn], EntPhysicalName=[EntPhysicalName], RelativeResource=[RelativeResource], ReasonDescription=The optical module bias is too low.) Physical entity failed. In VS mode, this trap is supported only by the admin VS.",All services running on the interface are interrupted.,The optical module bias is too low.,"1. Replace the optical module, and then check whether the alarm is cleared. If so, go to step 3. If not, go to step 2. 2. Collect alarm, log, and configuration information, and contact technical support personnel. 3. End.",BaseTrapSeverity::To describe the level of trap. | ProbableCause::To describe the probable cause of trap. | BaseTrapEventType::To describe the type of trap. | EntityPhysicalIndex::The index of the physical entity. | EntContainedIn::The value of entPhysicalIndex for the physical entity. | EntPhysicalName::The textual name of the physical entity. | RelativeResource::This object may contain a key word to indicate the relative resource of an entity. | ReasonDescription::To describe the reason of trap in DisplayString style.
