timestamp,device_id,device_role,alarm_id,alarm_name,severity,alarm_type,raise_or_clear,is_fault_episode,episode_id
2025-12-31 22:42:05.278779,ACCESS-034,access,0x00F101F8,hwFlexEPhyNumberMismatch,Major,equipmentAlarm,Raise,False,
2026-01-01 00:06:42.712651,ACCESS-083,access,0x00F1FF40,hwIPv6FramedRouteThresholdAlarm,Warning,communicationsAlarm,Raise,False,
2026-01-01 00:10:17.965089,ACCESS-090,access,0x0813000F,hwUnstableAlarm,Warning,equipmentAlarm,Clear,False,
2026-01-01 00:56:17.434355,ACCESS-051,access,0x00F10445,hwPceInitiatedLspLimitExceed,Major,qualityOfServiceAlarm,Raise,False,
2026-01-01 01:07:25.449097,ACCESS-118,access,0x00F101BB,hwMplsTunnelHotstandbySwitch,Major,communicationsAlarm,Raise,False,
2026-01-01 01:12:18.868476,CORE-002,core,0x094920AF,hwBip2ExcAlarm,Minor,communicationsAlarm,Clear,False,
2026-01-01 01:17:28.309262,EDGE-024,edge,0x00F102F2,hwVpnRouteLabelNumReachThresold,Major,qualityOfServiceAlarm,Raise,False,
2026-01-01 01:18:09.378430,EDGE-015,edge,0x00F1FF1A,hwCGNInstanceWarmlbApplyIPFailAlarm,Critical,communicationsAlarm,Raise,False,
2026-01-01 01:39:54.681043,ACCESS-085,access,0x00F10118,hwMflpBdPwResume,Warning,communicationsAlarm,Clear,False,
2026-01-01 01:45:04.044802,ACCESS-084,access,0x00F10248,hwNHRPDynPeerThresholdExceedResume,Warning,communicationsAlarm,Clear,False,
2026-01-01 02:14:06.111268,EDGE-023,edge,0x00F100EF,PIM_ROUTE_THRESHOLD,Warning,qualityOfServiceAlarm,Raise,False,
2026-01-01 02:54:50.078587,ACCESS-058,access,0x00010002,hwWholeFwdResThresholdExceed,Warning,qualityOfServiceAlarm,Clear,False,
2026-01-01 03:41:49.569435,ACCESS-098,access,0x00F1019E,hwVpwsBLabelNotEnough,Major,communicationsAlarm,Clear,False,
2026-01-01 04:08:22.488435,ACCESS-116,access,0x00F102E5,hwNPResourceExc,Warning,qualityOfServiceAlarm,Raise,False,
2026-01-01 04:38:28.498074,ACCESS-110,access,0x0001005C,hwMplsOamSF,Major,communicationsAlarm,Raise,False,
2026-01-01 04:58:59.769893,EDGE-011,edge,0x08130079,hwInputErrorAlarm,Critical,processingErrorAlarm,Raise,False,
2026-01-01 05:48:13.465916,EDGE-029,edge,0x00F101AE,PCE server delegate resource limit not reached,Warning,communicationsAlarm,Clear,False,
2026-01-01 05:58:50.731363,CORE-002,core,0x08130083,hwLaisAlarm,Major,communicationsAlarm,Clear,False,
2026-01-01 06:26:18.264460,ACCESS-059,access,0x0F012054,hwImaLinkFeTxUnusableAlarm,Minor,communicationsAlarm,Raise,False,
2026-01-01 06:53:40.244964,ACCESS-067,access,0x00F10248,hwNHRPDynPeerThresholdExceedResume,Warning,communicationsAlarm,Clear,False,
2026-01-01 07:12:22.816787,CORE-009,core,0x00F1FF72,hwL3ucBoardNotSupportFunction,Warning,equipmentAlarm,Clear,False,
2026-01-01 07:36:23.941255,EDGE-028,edge,0x00F1036A,hwEntityFileSystemAbnormalResume,Major,qualityOfServiceAlarm,Clear,False,
2026-01-01 07:38:48.242952,ACCESS-087,access,0x00F101BB,hwMplsTunnelHotstandbyResume,Major,communicationsAlarm,Clear,False,
2026-01-01 07:53:06.875631,ACCESS-049,access,0x00F10315,hwSrPolicyDown,Major,communicationsAlarm,Raise,False,
2026-01-01 08:10:27.492491,ACCESS-073,access,0x0C142006,hwhqosUserQueueApplyPirFailAlarmTrap,Major,processingErrorAlarm,Raise,False,
2026-01-01 08:16:02.526641,ACCESS-115,access,0x00F10226,hwFlexEBwReduceAlarm,Major,equipmentAlarm,Clear,False,
2026-01-01 08:35:38.594817,EDGE-016,edge,0x08012272,hwTmPerformanceALarm,Warning,equipmentAlarm,Clear,False,
2026-01-01 08:58:05.198839,ACCESS-104,access,0x00F10297,hwSaidCfcAlarm,Major,equipmentAlarm,Raise,False,
2026-01-01 08:59:04.927197,ACCESS-075,access,0x00F10448,hwEmdiBierRtpLrOverThresholdResume,Warning,qualityOfServiceAlarm,Clear,False,
2026-01-01 09:12:11.965530,ACCESS-072,access,0x00F1FFEB,hwMcFairBoardNotSupportAlarm,Warning,qualityOfServiceAlarm,Raise,False,
2026-01-01 09:17:15.709635,CORE-006,core,0x080122A3,hwFlexEGrpNegotiationFail,Minor,communicationsAlarm,Clear,False,
2026-01-01 09:40:51.057162,ACCESS-041,access,0x00F10174,hwSingleCCCVcUp,Minor,communicationsAlarm,Clear,False,
2026-01-01 09:54:13.616678,ACCESS-108,access,0x08590002,hwEthernetARPMACIPConflict,Major,environmentalAlarm,Clear,False,
2026-01-01 09:56:57.695424,ACCESS-056,access,0x00F1FEAC,isisSrv6PortLcsInactive,Major,communicationsAlarm,Raise,False,
2026-01-01 10:12:14.697289,ACCESS-116,access,0x0949001D,hwVrdiAlarm,Minor,communicationsAlarm,Clear,False,
2026-01-01 10:26:13.557502,ACCESS-034,access,0x09AF0005,hwClockNotInLockedMode,Major,equipmentAlarm,Raise,False,
2026-01-01 11:10:12.432975,ACCESS-034,access,0x0813005B,hwPortDown,Critical,equipmentAlarm,Raise,False,
2026-01-01 11:24:54.348014,CORE-005,core,0x09490018,hwCposE1UpE1AisAlarm,Minor,communicationsAlarm,Raise,False,
2026-01-01 11:25:53.218386,ACCESS-034,access,0x0813005A,hwOpticalRemove,Critical,equipmentAlarm,Raise,False,
2026-01-01 11:34:30.253676,ACCESS-046,access,0x00F10198,hwPowerFailureAlarm,Critical,equipmentAlarm,Clear,False,
2026-01-01 11:37:14.143639,ACCESS-047,access,0x00F10052,hwPhysicalPortCrcSd,Major,processingErrorAlarm,Raise,False,
2026-01-01 11:38:03.198105,ACCESS-042,access,0x0D300004,hwSystemConfigError,Major,equipmentAlarm,Raise,False,
2026-01-01 11:38:20.124451,ACCESS-061,access,0x0A11200D,hwEvplCCCDownAlarm,Minor,equipmentAlarm,Raise,False,
2026-01-01 11:51:03.906951,CORE-003,core,0x00F1006B,hwPtpTimeOffsetSumOver,Minor,equipmentAlarm,Raise,False,
2026-01-01 11:55:41.098741,ACCESS-108,access,0x08012231,hwOptCfgNotMatch,Critical,equipmentAlarm,Raise,False,
2026-01-01 11:58:37.398166,CORE-006,core,0x00F1030A,hwBierPrefixBfridConflictClear,Major,processingErrorAlarm,Clear,False,
2026-01-01 12:12:39.566765,ACCESS-087,access,0x00F1008A,hwCGNUserTableThresholdBoardAlarm,Warning,communicationsAlarm,Clear,False,
2026-01-01 12:25:51.549638,CORE-002,core,0x08900005,ospfNbrStateChange,Major,communicationsAlarm,Raise,False,
2026-01-01 12:56:42.348202,CORE-001,core,0x0CA4200F,IFIT_DYNFLOW_INGRESS_REACH_THRESHOLD_RESUME,Warning,processingErrorAlarm,Clear,False,
2026-01-01 13:15:20.556753,ACCESS-034,access,0x08130029,hwCardRemove,Critical,equipmentAlarm,Raise,False,
2026-01-01 13:42:15.128048,ACCESS-076,access,0x0859200B,hwEthernetARPThresholdExceedAlarm,Warning,qualityOfServiceAlarm,Raise,False,
